id,device_identifier,ts_generation,co2,humidity,pressure,temperature,battery
140393,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692276193083,447,44.5,1010.2,33.8,
140412,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692276793061,432,43.5,1010.2,32.8,
140430,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692277393025,441,48.0,1010.1,31.8,
140449,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692277993006,435,49.0,1010.1,31.2,
140467,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692278592973,451,50.0,1010.3,30.8,
140486,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692279192933,454,50.5,1010.4,30.5,
140504,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692279792926,476,52.5,1010.4,30.2,
140523,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692280392896,448,55.0,1010.5,29.7,
140541,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692280992855,484,63.5,1010.5,29.1,
140560,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692281592838,495,64.0,1010.6,28.6,
140578,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692282192776,466,66.0,1010.6,28.2,
140595,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692282792760,471,63.0,1010.7,28.1,
140614,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692283392752,460,64.0,1010.8,28.1,
140632,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692283992730,460,66.0,1010.7,28.0,
140649,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692284592678,477,63.0,1010.6,28.0,
140668,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692285192654,469,63.0,1010.4,27.9,
140685,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692285792632,465,63.5,1010.2,27.6,
140704,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692286392606,468,64.0,1010.2,27.7,
140721,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692286992584,473,64.0,1010.1,27.7,
140739,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692287592650,461,64.0,1010.1,27.8,
140753,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692288194225,456,63.5,1010.0,27.8,
140771,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692288792457,454,64.5,1009.8,27.8,
140789,abc0d16aaf15b3a4ee2e561195dfd82ab260497412e326bb57f2ee5bbe9042d8,1692289392454,452,64.5,1009.6,27.7,
