id,ts_generation,device_identifier,line,electrical_conductivity,humidity,temperature,battery
191601,1694009705044,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,192,23.2,21.2,NULL
191616,1694010306427,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,192,23.2,21.3,NULL
191634,1694010907791,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,191,23.2,21.3,NULL
191654,1694011509156,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,190,23.2,21.4,NULL
191689,1694012711898,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,190,23.2,21.4,NULL
191704,1694013313265,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,190,23.2,21.5,NULL
191722,1694013914634,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,189,23.2,21.5,NULL
191739,1694014516003,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,188,23.14,21.5,NULL
191757,1694015117382,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,188,23.2,21.6,NULL
191774,1694015718750,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,187,23.2,21.6,NULL
191794,1694016320132,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,187,23.2,21.6,NULL
191811,1694016921485,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,187,23.2,21.7,NULL
191828,1694017522866,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,187,23.2,21.7,NULL
191844,1694018124249,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,187,23.2,21.7,NULL
191878,1694019326989,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,187,23.2,21.7,NULL
191896,1694019928352,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,185,23.14,21.8,NULL
191914,1694020529724,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,185,23.2,21.8,NULL
191933,1694021131082,91738f0250e567c5c673d2217596991d2eec0cc6da56ca2b83821cfea5ba5349,1,185,23.14,21.8,NULL
